master_player_id,opta_player_id,tracking_player_id,player_name_opta,player_name_normalized,confidence_score,status
9ikkuxd19avliz1khcrm82gyy,29560.0,24955,Julián Álvarez,J. Alvarez,57,REVIEW
b9kfek16otvdorssn0wzkb36d,5199.0,5942,Jorge Resurrección Merodio,Koke,100,MATCHED
3gsprcdyogabeb8lr2y0bmytx,6826.0,11623,Clément Lenglet,C. Lenglet,88,MATCHED
1vyh50nfaq2kq5pmivpkc1psl,16879.0,14063,Dávid Hancko,D. Hancko,86,MATCHED
eh1ul4duphy1iz4odwx9tkjjd,20687.0,19061,Nicolás Iván González,N. González,88,MATCHED
7oykphzczagr975xsqt70s89h,5721.0,2189,Daniel Carvajal Ramos,Dani Carvajal,76,MATCHED
39gif4xfy8xddarasbsad56ok,116587.0,44876,Arda Güler,A. Güler,80,MATCHED
1i9wi65k2foqwudeqiyih87hl,6773.0,12251,Federico Santiago Valverde Dipetta,F. Valverde,89,MATCHED
5e9ilgrz3tzg9kd1gk3yvrahh,3009.0,6028,Kylian Mbappé Lottin,K. Mbappé,83,MATCHED
e83ula4wockmc2xid7185kcq2,30714.0,24583,Jude Bellingham,J. Bellingham,91,MATCHED
6crmq7vzqts58wg196q48sc7p,3509.0,10261,Thibaut Courtois,T. Courtois,89,MATCHED
8wvkrrbqqthuwda8twg03yuax,13620.0,12662,Éder Gabriel Militão,Éder Militão,100,MATCHED
amxunh6enoc99r07cp7qt621h,6840.0,11608,Marcos Llorente Moreno,Marcos Llorente,100,MATCHED
b4witgokm49tidm1a83qcvbop,18395.0,12253,Vinícius José Paixão de Oliveira Júnior,Vinícius Júnior,100,MATCHED
6xulax65kp4aid70nk7g5jr2t,22128.0,20233,Robin Aime Robert Le Normand,Robin Le Normand,100,MATCHED
2yt9oajv9dkbju8tgy1g2nmqd,6378.0,4713,Jan Oblak,J. Oblak,88,MATCHED
9e7ybe0nsu3byq2tteey3zuy2,137631.0,118870,Pablo Barrios Rivas,Pablo Barrios,100,MATCHED
5es43b4a7fv0lkmp63dj439ey,133308.0,42437,Giuliano Simeone,G. Simeone,88,MATCHED
6akzpi6rd6qq0ke07ojnhpoet,3687.0,12023,Alexander Sørloth,A. Sørloth,86,MATCHED
a4kw8u4dqsslfwe1ux08lbmc,50986.0,67581,Álvaro Fernández Carreras,Álvaro Carreras,100,MATCHED
aipyotc87m5bdvmvizd5n69k9,10481.0,12218,Aurélien Djani Tchouaméni,A. Tchouaméni,90,MATCHED
d2hnxi1yi5rgqj1tvxh1813x0,254913.0,166770,Dean Donny Huijsen,Dean Huijsen,100,MATCHED
atj6u4qul0o2ca57etbmes07o,149386.0,70532,Raúl Asencio del Rosario,Raúl Asencio,100,MATCHED
1fkntyd2z8e169yh98k0zst90,416520.0,799313,Franco Mastantuono,F. Mastantuono,92,MATCHED
en2c7z1raqmcwee78297pbnu2,24778.0,22103,Eduardo Camavinga,E. Camavinga,90,MATCHED
c83h08n0vnjvfgglyefy03h0p,29399.0,12106,Conor Gallagher,C. Gallagher,90,MATCHED
broq8imimhtlejtffissquy5m,25104.0,23903,Rodrygo Silva de Goes,Rodrygo,100,MATCHED
716n1970vi9rvw5b4w9qmjfth,5487.0,946,Antoine Griezmann,A. Griezmann,90,MATCHED
40gxfsz7bgrkdudqewlpxzyzt,23322.0,25625,Javier Galán Gil,Javi Galán,75,MATCHED
5zoz3mjooujpv0wdcphyrztd6,41115.0,25697,Alejandro Baena Rodríguez,Álex Baena,100,MATCHED
ieu0x9fy8hpqyztdjg8bgpnt,29201.0,26571,Nahuel Molina Lucero,N. Molina,86,MATCHED
